project completion,spi,cpi,developer exp,test case completion,task completion,result
10,0.87,0.92,0.285,1,0.9,1
20,0.864,0.912,0.285,1,1,1
30,1.23,0.891,0.4,1,1,1
50,1.045,1.012,0.4,0.92,1,1
70,0.92,1.14,0.4,0.97,0.97,1
40,0.87,1.11,0.285,1,0.99,1
20,1.12,0.94,0.285,1,1,1
80,1.023,0.989,0.34,0.982,1,1
90,0.953,0.878,0.34,1,1,1
60,0.882,0.9,0.4,1,0.987,1
90,0.912,1.14,0.4,1,0.89,1
80,1.152,1.05,0.285,1,1,1
60,1,0.952,0.285,0.952,1,1
50,0.93,0.896,0.4,0.949,1,1
100,1.21,1.089,0.34,1,0.941,1
100,0.89,1.18,0.34,1,1,1
10,0.98,0.98,0.4,0.73,0.67,0
30,0.75,1.03,0.4,0.92,0.89,0
40,0.823,0.97,0.4,0.81,0.78,0
70,0.745,0.95,0.5,1,0.98,0

